T(K),Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO,Fe2O3,GAMMA
1615,0.048799423,0.096036168,0.153422348,0.483863645,0.00253155,0.106437051,0.013561121,0.001358526,0.040447878,0.053542289,1.012010884
1569,0.049166774,0.096606313,0.153872398,0.480670709,0.002411089,0.10735159,0.013561621,0.001358576,0.037065472,0.057935458,1.00468797
1522,0.049642349,0.098746905,0.153108972,0.478582883,0.002425394,0.107276064,0.013784933,0.001366636,0.03158571,0.063480153,0.999532426
1909,0.010447544,0.098174264,0.161710128,0.505185388,0.001599681,0.115359408,0.014494892,0.001794586,0.08747486,0.00375925,1.222214266
1821,0.027565009,0.094400842,0.152834606,0.482974337,0.001842687,0.108567154,0.013674675,0.001791573,0.101120847,0.01522827,1.109166815
1817,0.022754746,0.095916803,0.156867365,0.499608502,0.001708279,0.111626432,0.014013941,0.001698641,0.082758312,0.013046979,1.153505776
1905,0.016072361,0.09836008,0.156648471,0.50425648,0.001584045,0.111777467,0.013994386,0.00185782,0.082563289,0.0128856,1.196433449
1573,0.072098349,0.063621439,0.175840329,0.521234778,0.022717739,0.072512634,0.009151171,0.001014385,0.050712742,0.005601453,0.993536717
1573,0.055153356,0.042304702,0.133983546,0.562696452,0.016444734,0.066708848,0.018196991,0.002147227,0.082706424,0.011637453,1.157473452
1573,0.045221181,0.011249467,0.166394826,0.621797445,0.029826737,0.041618906,0.006072587,0.001952821,0.06145542,0.012331146,1.273538837
1573,0.042254953,0.00014363,0.150388824,0.725521874,0.041927671,0.01025927,0.002015857,0.000729291,0.020187963,0.006391525,1.42778067
1573,0.07454603,0.080515181,0.152665868,0.381952718,0.026327472,0.142263665,0.031012311,0.002072001,0.082634001,0.013207315,0.688862599
1573,0.098436927,0.050402534,0.193145262,0.377197227,0.060613594,0.106244473,0.018055828,0.002009054,0.063764076,0.02129781,0.566232875
1573,0.100315482,0.017171394,0.233299773,0.444833737,0.097924985,0.044618582,0.007658388,0.001373055,0.042064656,0.007842054,0.590741755
1573,0.041913417,0.092251432,0.106096648,0.379207763,0.063030646,0.152205581,0.043057253,0.002280573,0.087663723,0.020428134,0.609818341
1573,0.039896428,0.094637497,0.109241787,0.377490434,0.061113966,0.154392253,0.042802243,0.002200896,0.086851376,0.020227862,0.61482736
1573,0.043273683,0.140311219,0.095659715,0.392317239,0.038666165,0.135233562,0.042170127,0.00169802,0.088301636,0.017556818,0.691099158
1573,0.062143061,0.020680845,0.17086833,0.601633167,0.045568985,0.036323011,0.005254171,0.001358558,0.043203135,0.011898568,1.074290364
1573,0.085001778,0.048812857,0.178478609,0.470505594,0.028806222,0.075726864,0.017456825,0.001893799,0.071408812,0.013566897,0.865122461
1573,0.098203326,0.045167292,0.202910207,0.452409595,0.033502969,0.079619932,0.011147033,0.00179233,0.060622088,0.009945092,0.763870892
